ID,Name,Team Rank by Points,WIN%,PTS,Location
MB,Milwaukee Bucks,1,0.639,120.1,CEN
BN,Brooklyn Nets,2,0.667,118.6,ATL
WW,Washington Wizards,3,0.472,116.6,SOE
UJ,Utah Jazz,4,0.722,116.4,NOR
PTB,Portland Trail Blazers,5,0.583,116.1,NOR
IP,Indiana Pacers,6,0.472,115.3,CEN
PS,Phoenix Suns,7,0.708,115.3,PAC
DN,Denver Nuggets,8,0.653,115.1,NOR
NOP,New Orleans Pelicans,9,0.431,114.6,SOW
LC,LA Clippers,10,0.653,114,PAC
SK,Sacramento Kings,11,0.431,113.7,PAC
GSW,Golden State Warriors,12,0.542,113.7,PAC
AH,Atlanta Hawks,13,0.569,113.7,SOE
P76,Philadelphia 76ers,14,0.681,113.6,ATL
MG,Memphis Grizzlies,15,0.528,113.3,SOW
BC,Boston Celtics,16,0.5,112.6,ATL
DM,Dallas Mavericks,17,0.583,112.4,SOW
MT,Minnesota Timberwolves,18,0.319,112.1,NOR
TR,Toronto Raptors,19,0.375,111.3,ATL
SAS,San Antonio Spurs,20,0.458,111.1,SOW
CB,Chicago Bulls,21,0.431,110.7,CEN
LAL,Los Angeles Lakers,22,0.583,109.5,PAC
CH,Charlotte Hornets,23,0.458,109.5,SOE
HR,Houston Rockets,24,0.236,108.8,SOW
MH,Miami Heat,25,0.556,108.1,SOE
NYK,New York Knicks,26,0.569,107,ATL
DP,Detroit Pistons,27,0.278,106.6,CEN
OCT,Oklahoma City Thunder,28,0.306,105,NOR
OM,Orlando Magic,29,0.292,104,SOE
CC,Cleveland Cavaliers,30,0.306,103.8,CEN
